Username,Comment,date,sentiment,Ticker
AndrewLonggg,then why be this roman bath house not under water,2024-10-04,1,DJT
Justtakingprofits,liecheat or steal the republican way baby,2024-10-04,1,DJT
Mduf,pete alonso just endorse trump with his bat,2024-10-04,5,DJT
Justtakingprofits,I get your mule hang bearish,2024-10-04,5,DJT
BarneyR,the only segment of millionaire who overall favor trump be young and selfish,2024-10-04,1,DJT
Hopenitsgood,walz be so perseverate on minnesota for his highlight I d think I d supplement his accomplishment bullish,2024-10-04,3,DJT
beconfident,or 082 bearish,2024-10-04,1,DJT
Justtakingprofits,how many mule,2024-10-04,1,DJT
JAHBULON,stock up on toilet paper bearish,2024-10-04,5,DJT
baaaddbob,look at the graph next stop bullish,2024-10-04,1,DJT
beconfident,bearish,2024-10-04,4,DJT
MarkTheGenius,we keep hear the story that trump know he lose the election but do not give a shit I agree with that story the evidence be fully there now to support it it be there before but be not really dissect fully now there be no doubt anymore so this tell we with 100 certainty that if donnie do not win it will always be fraud come from he so when he lose in november he will do the same bullshit and try to induce another insurrection at the capital this time we must be prepare ahead of time joe will have to bring in the ng or the army to protect the capital before something bad can happen we can not let this shit happen again bearish,2024-10-04,1,DJT
Justtakingprofits,where be putin come breath speak tonight,2024-10-04,5,DJT
Justtakingprofits,trump need to keep all his suit he meet with putin for dna proof for fire law suit come face rich,2024-10-04,5,DJT
beconfident,a andysun at the beginning of his meltdown stage can I offer you some water would you like to sit down be you lightheade bearish,2024-10-04,3,DJT
aa906814,dddsaaw bullish,2024-10-04,1,DJT
Justtakingprofits,putin seaim be not that rotten be it,2024-10-04,1,DJT
AndrewLonggg,you be worth block and report I hope all take notice,2024-10-04,3,DJT
Justtakingprofits,the feeling of a real thug up the a o cause the sprinter to close bearish,2024-10-04,1,DJT
Justtakingprofits,kari lake,2024-10-04,3,DJT
zzen,trump tell maga s that global warming be fake news bearish,2024-10-04,1,DJT
Justtakingprofits,georgia republican official and outspoken election deni catch vote illegally 9 time pritchard be ineligible to vote due to past felony conviction the judge find josh meyer usa today,2024-10-04,1,DJT
PatsOfButter,hope georgia election board be pay attention,2024-10-04,4,DJT
beconfident,biden great man great president bearish,2024-10-04,5,DJT
DeadcowX,this tank tomorrow to bearish,2024-10-04,5,DJT
TheGov65,it be cost the taxpayer of the america 150 billion a year to take care of illegal migrant for their housing education food and health care,2024-10-04,1,DJT
beconfident,child of god bearish,2024-10-04,5,DJT
beconfident,and then there this bearish,2024-10-04,5,DJT
beconfident,speak of wannabe strong man that be actually weak and foolish bearish,2024-10-04,5,DJT
PeterLynch_IsBack,pick up a 1650 before close for fun little scratch off ticket bullish,2024-10-04,3,DJT
Chino310,you can not make this stuff up bullish,2024-10-04,1,DJT
Torgy,file with the sec today why do the coo resign effective september 28 2024 andrew northwall resign as chief operating officer of trump medium technology group corp the company or tmtg the company plan to transition his duty internally,2024-10-04,1,DJT
SaLuSa_of_SIRIUS,do the great walz of ghina actually say he become friend with school shooter,2024-10-04,5,DJT
AndrewLonggg,alcohol debilitate the mind it make strong man weak foolish you be a child in a mans world you lack character and a conscious,2024-10-04,1,DJT
shadowpawn,thank you sleepy joe,2024-10-04,5,DJT
Justtakingprofits,she s get big one then you pathetic p o s,2024-10-04,1,DJT
beconfident,people like andysun that spout bible versus for their own egotistical dysfunction do this bearish,2024-10-04,1,DJT
Yieldmaxdefiantthereal1,so why do a woman who vote illegally also unknowingly get a prison term because she s black,2024-10-04,1,DJT
Justtakingprofits,bet diddy have film,2024-10-04,5,DJT
AndrewLonggg,2 timothy 17 the bible say for god have not give we a spirit of fear and timidity but of power love and selfdiscipline,2024-10-04,5,DJT
Justtakingprofits,the petting zoo mule georgia republican official and outspoken election deni catch vote illegally 9 time pritchard be ineligible to vote due to past felony conviction the judge find josh meyer usa today,2024-10-04,1,DJT
lombardo141,the trump family should change their last name to grift bearish,2024-10-04,3,DJT
Capitalism_not_socialism,trump liz cheney be a stupid warhawk all she want to do be shoot missile at people kamala have join force with the war monger to create infinite war and death dem wtf I love foreign war now,2024-10-04,1,DJT
beconfident,you sound desperate and angry have a drink andysun its just another election that you re go to lose bearish,2024-10-04,1,DJT
Justtakingprofits,for putin suck love nut,2024-10-04,1,DJT
Chris_Pike,liz cheney next attorney general under harris administration bearish,2024-10-04,5,DJT
sifter,trump win the internet,2024-10-04,5,DJT
AndrewLonggg,say the party of pro palestine and hamas nice dude gaslighting be not real,2024-10-04,1,DJT
Justtakingprofits,that punk about to get a real thug shove up his a o,2024-10-04,1,DJT
MarkTheGenius,union reach deal port crisis avert way to go on another note I see the hurricane video about that woman who lose her husband and her home float away my heart at first feel true sadness for she until I hear she say this one minute I be bake cookie the next minute we be fight for our life this disturb I this tell I she and her husband completely ignore warning and think it be bullshit they be somehow special and would not be affect even though they be right along a small water way that would overflow from storm surge and cause severe flooding that be just pure ignorance I can not feel sympathy for that I m sorry I can not only truly stupid people can overlook that ignorance I only feel a very small amount of sympathy now for her bearish,2024-10-04,1,DJT
Justtakingprofits,book I read say death to king be that true bearish,2024-10-04,5,DJT
AJiNoMo2,this crook be get rich with magat don ation to the thug,2024-10-04,1,DJT
beconfident,get your bag wide open antisemite your guy do bearish,2024-10-04,1,DJT
Justtakingprofits,death to the king I read one time,2024-10-04,1,DJT
Justtakingprofits,trump election conspiracist tina peters sentence to 9 year in prison by colorado judge publish thu oct 3 2024 228 pm edtupdate 49 min ago if it smell like dog dooky look like trump its trump himself,2024-10-04,1,DJT
Wish_I_were_younger,insurrection treason treason remain punishable by death cmon mr smith,2024-10-04,1,DJT
beconfident,cmon low energy maga degenerate you re get stale you be more interesting when you be go after hunter laptop now its almost like you know you ve lose oh you know you ve lose bearish,2024-10-04,2,DJT
Justtakingprofits,just like you,2024-10-04,5,DJT
Adelisa4Trump,cheney be a nobody,2024-10-04,1,DJT
Justtakingprofits,trump election conspiracist tina peters sentence to 9 year in prison by colorado judge publish thu oct 3 2024 228 pm edtupdate 49 min ago hahaha bearish,2024-10-04,1,DJT
Xaeraiae28,come at I republican and democratic sheep remember when trumpy the trickster get the vaccine oh and his parent make he study kabbalah during his youth along with the same esoteric study practice by other member of elite rule family,2024-10-04,5,DJT
odysseus2018,penny to trump,2024-10-04,5,DJT
Justtakingprofits,trump election conspiracist tina peters sentence to 9 year in prison by colorado judge publish thu oct 3 2024 228 pm edtupdate 49 min ago bearish,2024-10-04,1,DJT
Xaeraiae28,you republicans say you re open minded to the truth but immediately call I a liberal and get emotional when you hear my idea it just show how immature and asleep most conservative truth seeker be you guy do not know shit about how the world be run keep on believe your deep state nonsense the elite network be far large than the deep state bs most of you immature republican loser who claim to be on the correct side be just blind sheep to the elite they laugh at the people who think politic be what make the world go around and that be conservative or democrat be the right side of thing there be no right side just divide and conquer tactic setup by people who be more intelligent than you will ever be some people just do not confide with the entire political spectrum dumbass I think republican be open to other people think and respectful like they all claim they be but get all pissy and emotional not a liberal or conservative bullish,2024-10-04,1,DJT
StockRavingMad,strike over thank brandon that s our guy in charge,2024-10-04,5,DJT
MelonHole888,its possible they be try to kill and eradiate that area to build new home for illegal bearish,2024-10-04,3,DJT
Justtakingprofits,like his dinky,2024-10-04,4,DJT
Justtakingprofits,trump election conspiracist tina peters sentence to 9 year in prison by colorado judge publish thu oct 3 2024 228 pm edtupdate 49 min ago,2024-10-04,1,DJT
Justtakingprofits,man I be happy and go to sleep like a baby justice,2024-10-04,5,DJT
