Username,Comment,date,Ticker,sentiment
MikeaOwens,analyst price target for today besttradingstocktradesmartlyxy,2024-10-15,DJT,5
SuellenMeador,new alert have be post in the last hour stockmomentumlivetrade,2024-10-15,DJT,5
Romanov,still here og still play up let it go let it fly then juicy nov 8 put very,2024-10-15,DJT,5
Detroit201,be malala what you want for the next 4 year not I,2024-10-15,DJT,1
Thankful__Gains,take profit,2024-10-15,DJT,5
Buckburger,sorry bear this be one fight you will not win good luck god bless,2024-10-15,DJT,1
The_Blue_Print,the goal be to get to 56 by the election who be with I,2024-10-15,DJT,3
smallfish1,I trust general mark milley who have serve the country for 40 year instead of the oneterm president who be fire by we in 2020 as a matter of fact I do not need to choose who I believe trump himself say on saturday at his rally and then yesterday on fox news that the military and national guard should be use to handle the radical leave the enemy within this be exactly what fascist dictator do use military force against political opponent it be all over the national news today on abc nbc and cbs this 78yearold be lose his mind and be dangerous we can not afford four year of chaos under he,2024-10-15,DJT,1
PivotPoint_101,I see trader do trader thing,2024-10-15,DJT,3
Down_Goes_Frazier,do great watch the jet and bill game which be a really good game and hang with the dog on the couch with a good scotch pretty awesome actually lol sorry kek,2024-10-15,DJT,5
kamalathegreatborderCzar,evan ultra lib canadian pollster all in on trump,2024-10-15,DJT,1
Max22,reminder,2024-10-15,DJT,5
OptionDayTrader4Profit,waltz love the chinese salid dressing but it make he forget how to load a shotgun,2024-10-15,DJT,3
HumbleWarrior,this have not even reach half the level of all time high back in march which be this should reach close to during next 15 business day as election day come close,2024-10-15,DJT,1
Blueline70,I hope people take some profit before nov 5 either way it will gap big nov 6,2024-10-15,DJT,3
KeepRealityReal,I sleep like a log you wake every night terrify,2024-10-15,DJT,5
GorillaTicTacs,after this yes I have a new nightmare plot now,2024-10-15,DJT,5
KeepRealityReal,wow how miserable you must be right now hahahaha,2024-10-15,DJT,1
K4L,hold till nov 2028 maga,2024-10-15,DJT,1
Thankful__Gains,tell you so take profit follow I to find out what be next 123 in share but 1400 in call,2024-10-15,DJT,1
KeepRealityReal,night gorilla sleep tight your dream must be nightmare hahahaha,2024-10-15,DJT,5
Down_Goes_Frazier,great video jason crow a former ranger in afghanistan and congressman from pa I think just destroy these maga chump and set the record straight on the afghan pull out and how trump fke up negotiate with the taliban doom it from the start truth fact mfkr,2024-10-15,DJT,5
Blue_Ocean,wow big in a few day up 90 harris should join sleepy joe and throw in towel djt will probably run to ny election day,2024-10-15,DJT,5
GorillaTicTacs,he just lock his supporter in a town hall for 40 minute with no ac after 2 people have already pass out and force they to watch music video while he sing and dance cult leader on a bizarre power tripor senile old man that completely lose the plot,2024-10-15,DJT,1
TomKirk222,its kill the weirdo that they be lose horribly,2024-10-15,DJT,1
KeepRealityReal,be it jamindian I have no idea what you clown think and I hope that jahbulon be way beyond I I want nothing to do with you or any of thinking ever fortunately I will not need to maga landslide sleep tight jahbulon,2024-10-15,DJT,1
AnaIyze,on robinhood let see 40 eow,2024-10-15,DJT,3
JAHBULON,now I m a kamala supporter interesting as far a jahbulon that s way beyond you so do not even attempt it,2024-10-15,DJT,5
WEN_LAMB0,trump must win,2024-10-15,DJT,5
RainbowTrump,remember all you asuarasian,2024-10-15,DJT,5
Detroit201,what s the discrimination malala what about all americans cuz all we be americans this woman suck shame on you malala,2024-10-15,DJT,1
GorillaTicTacs,trump completely lose his marble tonight holyfreakinshiznit he s justgone,2024-10-15,DJT,1
KeepRealityReal,what s a big scrabble word discernment or jahbulon comical how stupid the kamala sheeple be separate question be jahbulon also jamindian who know there be multiple jamindian good for they quite a culture scrabble be their favorite pastime,2024-10-15,DJT,5
VisualTrader,everyone be bear at 13 and bull a 30 some thing never change,2024-10-15,DJT,1
BarneyR,at some point be go to find that musk and thiel buy these share to prop up trump the guy be so low energy and deflate he stop the qa at his town hall and leave kristy noem stand on the stage wonder what the fuck his cognitive capacity be wither far towards incompetency every day all he s get leave be hatred and lie,2024-10-15,DJT,1
GSP,day trading watch list video for october 15th cont watch here,2024-10-15,DJT,5
MB0000,blue sky,2024-10-15,DJT,5
Trryan2,maga 2024,2024-10-15,DJT,3
DTheMan,let go trump,2024-10-15,DJT,5
Rambo_,once a wise man say never bet against rambo,2024-10-15,DJT,5
JAHBULON,yep reality discernment be indeed difficult for you,2024-10-15,DJT,2
DFWxplorer,donny boy be senile watch and learn,2024-10-15,DJT,3
Snowboardkid01,we go to tomororw,2024-10-15,DJT,3
CryptoDooDoo,I laugh at all you retard harris supporter you try to bring this stock down and it do not work,2024-10-15,DJT,1
meatpuppets,run lib run run right into the arm of kamala the no vote get weiner love sf socialist she will save you with joy,2024-10-15,DJT,1
BarneyR,north carolina authority arrest armed man after threat against fema worker rutherford county sheriff office confirm it make the arrest after learn of threat to federal emergency management agency employee work on hurricane relief thank the orange fascist for inspire this horseshit,2024-10-15,DJT,1
JJBurch,this be and be a sincere question anyone please help I understand,2024-10-15,DJT,5
Jimbonada,15 of float still short bear be not only dumb but stubborn we must thank they for their generous share,2024-10-15,DJT,4
mike8622,huge money place its bet on a trump win viamarketwatch dow jones the dollar be rally because investor be make a down payment on a trump election victory it be not the only reason but the us dollar have be strengthen in part because investor be grow more confident republican nominee donald trump will be victorious in the nov 5 presidential election accord to one wall street strategist the dollar have strengthen versus major rival in october at the same time bet market have price in a grow probability of a trump victory on nov 5 observe thierry wizman fx and rate strategist at macquarie marketwatch dow jones source trump vance 2024,2024-10-15,DJT,1
Trading4Living,hope he wins still go to short the stock regardless try friday with minimal gain I cover daily no overnight hold just wait for the next intraday setup today be a freight train no short get close by the day tho,2024-10-15,DJT,1
Plmilbu,damn joe bidens economy boom,2024-10-15,DJT,5
GorillaTicTacs,they be not go to wait until the obvious time to flip that switch either everyone here think this will just be predictable million for they like its their first rodeo,2024-10-15,DJT,2
KeepRealityReal,how s your short doing be nvda a meme stock nice name what a bozo and you actually post publicly even more hilarious,2024-10-15,DJT,5
Stockgasm,oh yeah,2024-10-15,DJT,5
ShortNVDA,do we forget what a meme stock be yet you be rally a stock the investor ten of thousand of time rich than you can naked short at ps multiple of 1000,2024-10-15,DJT,1
KeepRealityReal,how s that short go lol comical,2024-10-15,DJT,5
Joinnowitsfree,someone know something,2024-10-15,DJT,1
Trumpisourlastchance,dude off,2024-10-15,DJT,1
ThinkYouCan,truth come out on what happen in afghanistan trump negotiate a short withdrawal window and release 5k taliban prisoner all the equipment leave be actually equipment that be give to the afghan government to defend themselves against the taliban no actual military equipment be leave behind the gop and trump lie to you,2024-10-15,DJT,1
Down_Goes_Frazier,trump be putin,2024-10-15,DJT,1
crazyaf,I want to be kingvote for mei mean kamalaunite we can end democracy forever,2024-10-15,DJT,5
Buckburger,trump will be the next president as much as I do not like he s ethic he be the man to get it do god bless america for americans control worldwide peace,2024-10-15,DJT,1
ultrapikachu,ride or die on november 5th trump 2024,2024-10-15,DJT,1
RainbowTrump,ahahhahahaha this trump guy be a walk vegetable omg,2024-10-15,DJT,1
Pattern_Spotter,the epitome of stupidity smdh,2024-10-15,DJT,1
Jnoda05,can we see 36 this week,2024-10-15,DJT,5
AmazingYear22,the same way as trump university,2024-10-15,DJT,5
AmazingYear22,let not do any more question lets just listen to music,2024-10-15,DJT,5
ElephantD,trump and joe rogan next week look forward to it,2024-10-15,DJT,5
StockyMarciano,if harris win america lose trump vance,2024-10-15,DJT,1
DocGus,look like I m go to make a couple of dollar here again hold for the real gain,2024-10-15,DJT,1
BrandonE951,be in this since the begin straight chillin,2024-10-15,DJT,5
CocaineBear1,smell some thing really cook the chart be not go to make sense there be a lot of thing that do not make sense but here we be,2024-10-15,DJT,3
keynesian,wow kamala harris will be on the joe rogan too man of the year right there,2024-10-15,DJT,5
MafiaStocks,trump be your president,2024-10-15,DJT,5
PlaceboJeffectdos,its easy to fool people than to convince they that they ve be fool,2024-10-15,DJT,3
BrandonE951,up 280 chillin like a big ol boss,2024-10-15,DJT,1
redsstocktwits,this be the reason why we be go up I wonder who do this pretty good web streaming site of truth finally an alternative for all of we who hate to watch the manipulativecorrupt medium of today truth medium and entertainment will replace they all this be so good and I can not wait to have this on my apple device apple tv google tv roku this will go global if you do not have an account create 1 now this be pretty good playertruthsocialtvstart,2024-10-15,DJT,5
dawgpoundmc,poll call for trump to win in a landslide,2024-10-15,DJT,5
Detroit201,never forget mr obama kamala do the opposite and you re support she come on man trump 2024,2024-10-15,DJT,5
Down_Goes_Frazier,as long as they re not trump victim right,2024-10-15,DJT,3
TechTrader17,another lie fact check you people be too easy you stink with desperation wash yourself,2024-10-15,DJT,1
Sevenele,will they keep he inside the jail or leave he in the forest,2024-10-15,DJT,1
ShortNVDA,this be actually go to zero and harris be win the presidency the nice thing be trump will no long be in the public eye he will take down truth social musk and x with he could you have imagine in 2001 that rudy giuliani would be a disbarred bankrupt laughingstock of course not what be his 1 big mistake,2024-10-15,DJT,1
