News Title,Date,Source,URL,sentiment,search_query
in michigan harris hit back against trump over his electric car attack line,2024-10-05,NPR,https://www.npr.org/2024/10/04/nx-s1-5140654/kamala-harris-trump-electric-vehicles-flint,1,Trump
biden not confident of peaceful 2024 election amid trump dangerous rhetoric live,2024-10-05,The Independent,https://www.independent.co.uk/news/world/americas/us-politics/trump-harris-elections-2024-live-updates-b2624008.html,1,Trump
trump bible one of few that meet walter criterion for oklahoma classroom,2024-10-05,The Oklahoman,https://www.oklahoman.com/story/news/2024/10/04/donald-trump-supported-bible-one-of-few-that-meets-ryan-walters-criteria-for-ok-classrooms/75510021007/,5,Trump
trump return to butler for rally at site of assassination attempt,2024-10-05,CNN,https://www.cnn.com/2024/10/05/politics/trump-returns-to-butler/index.html,1,Trump
election 2024 harris rally in michigan trump hold town hall in north carolina,2024-10-05,NBC News,https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-election-live-updates-rcna173210,1,Trump
elon musk to join trump for rally at site of first assassination attempt,2024-10-05,Al Jazeera,https://www.aljazeera.com/news/2024/10/5/elon-musk-to-join-trump-for-rally-at-site-of-first-assassination-attempt,4,Trump
opinion   trump court disaster by underestimate iranian death threat,2024-10-05,The Washington Post,https://www.washingtonpost.com/opinions/2024/10/04/trump-iran-assassination-risk/,1,Trump
maga civil war meet the republicans back harris who could beat trump,2024-10-05,MSNBC News,https://www.msnbc.com/the-beat-with-ari/watch/maga-civil-war-meet-the-republicans-backing-harris-who-could-beat-trump-220949061507,5,Trump
5 takeaway from melania trumps book abortion right 2020 election and more,2024-10-05,The New York Times,https://www.nytimes.com/2024/10/04/us/politics/melania-trump-book-abortion-2020-election.html,5,Trump
trump return to scene of shoot   and a town try to heal,2024-10-05,BBC,https://www.bbc.com/news/articles/cx20dr33xjeo,1,Trump
trump and georgia gov kemp use hurricane recovery to make first 2024 appearance together,2024-10-05,AP News,https://apnews.com/article/trump-brian-kemp-hurricane-helene-biden-75ed7f49ffd1a9b07ba82e18abecaa47,5,Trump
harris dunk on trump vance at flint rally with an assist from magic johnson,2024-10-05,"ABC News - Breaking News, Latest News and Videos",https://abcnews.go.com/Politics/harris-calls-trump-existential-threat-labor-plans-hit/story%3Fid%3D114509634,4,Trump
opinion   trump be leave with lie both terrible and cruel,2024-10-05,Washington Post,https://www.washingtonpost.com/opinions/2024/10/04/newsletter-trump-lies/,1,Trump
trump ground game rely on untraditional strategy to draw out battleground voter,2024-10-05,CNN,https://www.cnn.com/2024/10/04/politics/trump-campaign-ground-game/index.html,1,Trump
behind trump view on ukraine putin gambit and a political grudge,2024-10-05,The New York Times,https://www.nytimes.com/2024/10/05/us/politics/trump-putin-ukraine.html,1,Trump
october 4 2024 presidential campaign news,2024-10-05,CNN,https://www.cnn.com/politics/live-news/trump-harris-election-10-04-24/index.html,1,Trump
trump appear in georgia with gov kemp harris campaign in michigan,2024-10-05,The Washington Post,https://www.washingtonpost.com/elections/2024/10/04/2024-election-campaign-updates-harris-trump/,4,Trump
oklahoma school may be buy 55000 trumpendorse bible here why,2024-10-05,CNN,https://www.cnn.com/2024/10/04/politics/video/oklahoma-schools-bible-trump-src-digvid,1,Trump
that be not true kaitlan collins debunk trump comment about fema and migrant,2024-10-05,CNN,https://www.cnn.com/2024/10/04/politics/video/trump-fema-migrants-kaitlan-collins-src-digvid,1,Trump
reporter say musk be draw to trump authoritarian leaning,2024-10-05,CNN,https://www.cnn.com/2024/10/04/politics/video/donald-trump-elon-musk-ac360-digvid,1,Trump
harris campaign signal effort to cast trump as a threat in final stretch,2024-10-05,Axios,https://www.axios.com/2024/10/04/trump-harris-election-2024-threat,4,Trump
in michigan harris do not get hopedfor firefighter endorsement amid shift labor loyalty,2024-10-05,AP News,https://apnews.com/article/harris-trump-labor-michigan-georgia-dockworkers-98eee32bc975ed5bc284d3e0785e5d7b,1,Trump
trumpendorse bible meet requirement lay out for oklahoma school,2024-10-05,CNN,https://www.cnn.com/2024/10/04/politics/oklahoma-schools-bible-trump/index.html,4,Trump
trump pledge to rename army base after confederate general,2024-10-05,Politico,https://www.politico.com/news/2024/10/04/trump-rename-army-confederate-general-00182606,5,Trump
okla be buy school 55000 bible spec match the 60 trump bible,2024-10-05,The Washington Post,https://www.washingtonpost.com/education/2024/10/04/oklahoma-schools-trump-bible/,5,Trump
as trump make false claim about hurricane relief white house call it poison,2024-10-05,The Washington Post,https://www.washingtonpost.com/politics/2024/10/04/trump-hurricane-helene-fema-money-misinformation/,1,Trump
trump return to butler be sure to be a spectacle be it safe,2024-10-05,The New York Times,https://www.nytimes.com/2024/10/04/us/elections/trump-butler-assassination-attempt.html,3,Trump
elon musk say he will attend trump rally at pennsylvania shooting site,2024-10-05,The Guardian,https://www.theguardian.com/us-news/2024/oct/04/elon-musk-trump-pennsylvania-rally,4,Trump
opinion   jack smith have dubious timing   but a good case,2024-10-05,The Washington Post,https://www.washingtonpost.com/opinions/2024/10/04/jack-smith-trump-jan-6-filing/,3,Trump
in north carolina town hall trump make a series of promise to appeal to veteran,2024-10-05,The New York Times,https://www.nytimes.com/2024/10/04/us/politics/trump-town-hall-promises-veterans.html,5,Trump
harris campaign plan to ramp up its negative messaging against trump,2024-10-05,NBC News,https://www.nbcnews.com/politics/2024-election/harris-campaign-plans-ramp-negative-messaging-trump-rcna174039,1,Trump
